epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
279,37424.7,0.37268,0.7588,0.98731,0.81286,0.0044956,0.0044956,0.0044956
280,37556.9,0.37814,0.75944,0.98763,0.80966,0.0044758,0.0044758,0.0044758
281,37693.3,0.37198,0.75975,0.98731,0.81474,0.004456,0.004456,0.004456
282,37824.2,0.36539,0.76007,0.98747,0.81367,0.0044362,0.0044362,0.0044362
283,37958.7,0.3615,0.75991,0.98747,0.81181,0.0044164,0.0044164,0.0044164
284,38091.5,0.35803,0.75928,0.98731,0.81571,0.0043966,0.0043966,0.0043966
285,38225.3,0.35974,0.75848,0.98779,0.81098,0.0043768,0.0043768,0.0043768
286,38359.1,0.35632,0.75896,0.98763,0.81485,0.004357,0.004357,0.004357
287,38493,0.36043,0.75928,0.98763,0.81596,0.0043372,0.0043372,0.0043372
288,38628.3,0.36228,0.75944,0.98763,0.8164,0.0043174,0.0043174,0.0043174
289,38761.5,0.35229,0.76007,0.98795,0.82159,0.0042976,0.0042976,0.0042976
290,38892.8,0.35528,0.76055,0.98779,0.81863,0.0042778,0.0042778,0.0042778
291,39027.6,0.34393,0.76023,0.98795,0.82353,0.004258,0.004258,0.004258
292,39158.9,0.35761,0.76007,0.98779,0.82272,0.0042382,0.0042382,0.0042382
293,39294.2,0.35127,0.76039,0.98763,0.81868,0.0042184,0.0042184,0.0042184
294,39427.8,0.34756,0.76055,0.98779,0.81805,0.0041986,0.0041986,0.0041986
295,39563.7,0.3477,0.76055,0.98763,0.81377,0.0041788,0.0041788,0.0041788
296,39696.1,0.34453,0.76055,0.98716,0.82447,0.004159,0.004159,0.004159
297,39828.6,0.33668,0.76102,0.98716,0.82602,0.0041392,0.0041392,0.0041392
298,39964.3,0.34903,0.76086,0.98747,0.82938,0.0041194,0.0041194,0.0041194
299,40096.1,0.34193,0.76023,0.98747,0.82979,0.0040996,0.0040996,0.0040996
300,40232.6,0.3446,0.76166,0.98779,0.82462,0.0040798,0.0040798,0.0040798
301,40365.6,0.33952,0.7615,0.98747,0.82463,0.00406,0.00406,0.00406
302,40498.4,0.34384,0.75975,0.98716,0.82713,0.0040402,0.0040402,0.0040402
303,40632.3,0.33431,0.7607,0.987,0.83761,0.0040204,0.0040204,0.0040204
304,40763.6,0.33831,0.7607,0.987,0.82652,0.0040006,0.0040006,0.0040006
305,40898.9,0.33317,0.76039,0.98763,0.83476,0.0039808,0.0039808,0.0039808
306,41028.9,0.33567,0.76118,0.987,0.82918,0.003961,0.003961,0.003961
307,41165.6,0.33144,0.76118,0.98716,0.82828,0.0039412,0.0039412,0.0039412
